Pro Quality,Pro Relevance,Pro Reasoning,Con Quality,Con Relevance,Con Reasoning,Winner
7,6,7,9,10,6,Con
4,6,5,9,10,4,Con
6,10,7,6,7,5,Pro
6,4,8,4,5,6,Pro
5,8,9,7,10,8,Con
10,9,9,5,7,8,Pro
5,10,9,5,9,5,Pro
7,6,5,7,9,9,Con
5,5,5,6,9,6,Con
4,7,5,9,9,9,Con
8,9,6,4,5,8,Pro
7,4,7,8,9,9,Con
8,8,7,8,8,4,Pro
6,9,4,8,6,8,Con
7,6,5,7,7,9,Con
10,4,6,5,4,5,Pro
5,9,10,5,5,5,Pro
5,5,8,9,7,4,Con
4,8,9,9,8,7,Con
10,9,9,7,5,6,Pro
10,5,8,10,8,8,Con
10,7,10,8,7,8,Pro
4,7,7,6,8,8,Con
5,8,6,8,9,9,Con
9,7,4,5,5,5,Pro
5,10,6,6,6,4,Pro
6,7,10,10,6,10,Con
9,4,4,8,5,7,Con
8,4,6,5,8,10,Con
9,8,8,10,10,10,Con
10,5,7,4,4,6,Pro
9,5,10,7,10,4,Pro
9,5,7,7,5,6,Pro
10,6,9,7,9,5,Pro
8,8,8,5,6,6,Pro
8,9,8,4,8,7,Pro
8,5,7,8,9,8,Con
10,9,10,7,4,6,Pro
7,10,9,4,6,8,Pro
8,5,5,9,10,7,Con
4,5,6,9,9,10,Con
7,4,9,7,7,9,Con
9,10,5,4,5,4,Pro
5,4,5,4,8,9,Con
6,10,7,9,6,10,Con
9,5,10,8,6,6,Pro
6,6,7,7,9,8,Con
10,9,7,7,6,9,Pro
7,10,7,6,5,10,Pro
5,5,7,4,5,4,Pro
5,8,7,9,8,10,Con
4,9,8,4,5,8,Pro
10,5,9,9,4,5,Pro
6,7,9,8,8,8,Con
4,7,10,6,10,8,Con
7,9,5,10,9,6,Con
6,7,6,5,6,4,Pro
5,10,9,8,6,4,Pro
7,7,8,7,4,4,Pro
4,4,5,5,4,9,Con
9,6,10,8,8,6,Pro
8,4,10,8,4,4,Pro
8,8,10,4,6,5,Pro
9,7,9,6,9,5,Pro
4,10,7,6,9,8,Con
7,9,7,6,6,8,Pro
9,5,4,6,9,9,Con
10,4,6,10,10,5,Con
4,6,5,7,8,8,Con
9,4,5,10,8,8,Con
9,7,9,5,9,7,Pro
9,7,8,7,4,6,Pro
4,6,7,10,4,9,Con
9,8,7,4,7,9,Pro
10,9,8,10,5,4,Pro
8,5,4,10,4,6,Con
8,6,4,10,10,8,Con
4,7,9,4,7,5,Pro
4,7,5,5,6,8,Con
8,7,9,10,4,5,Pro
8,8,9,4,5,10,Pro
10,7,5,7,4,7,Pro
10,4,9,5,8,4,Pro
8,5,9,4,9,6,Pro
5,10,4,6,4,4,Pro
9,9,9,10,6,4,Pro
9,6,5,6,8,10,Con
7,9,9,8,4,5,Pro
7,7,10,5,7,6,Pro
10,6,4,5,6,5,Pro
6,10,9,5,10,4,Pro
6,4,10,9,5,8,Con
7,6,7,6,10,7,Con
5,4,8,6,10,6,Con
4,5,6,6,9,5,Con
8,5,6,10,5,7,Con
6,6,6,7,10,5,Con
6,4,6,9,10,9,Con
5,9,8,5,5,6,Pro
7,10,8,8,4,5,Pro
6,10,6,4,8,7,Pro
4,5,5,10,4,6,Con
10,4,7,9,7,9,Con
9,8,9,6,8,10,Pro
10,10,7,10,5,6,Pro
7,7,6,10,5,9,Con
4,10,4,6,10,5,Con
7,8,5,10,6,6,Con
7,6,4,8,5,10,Con
9,9,10,4,4,6,Pro
6,6,9,9,8,9,Con
10,10,4,5,4,7,Pro
5,5,4,8,6,7,Con
9,4,8,4,6,9,Pro
10,10,4,7,8,5,Pro
9,5,5,10,7,10,Con
8,8,5,4,6,9,Pro
10,6,10,5,5,10,Pro
8,9,8,10,5,6,Pro
10,8,4,5,5,6,Pro
10,9,6,5,7,7,Pro
9,9,9,5,6,8,Pro
10,7,4,10,7,10,Con
9,10,6,10,9,10,Con
7,4,10,10,9,5,Con
5,10,9,4,8,6,Pro
4,10,9,4,7,6,Pro
7,5,9,7,10,8,Con
8,5,7,5,6,5,Pro
4,7,7,9,6,5,Con
6,4,5,9,8,6,Con
6,6,8,4,5,5,Pro
4,10,4,7,7,10,Con
7,5,6,10,6,10,Con
7,7,6,5,6,6,Pro
8,9,10,5,4,4,Pro
10,5,5,5,4,8,Pro
7,4,7,7,9,7,Con
4,8,6,9,4,9,Con
7,4,5,10,6,5,Con
7,4,7,8,9,4,Con
5,5,7,4,9,8,Con
10,6,10,7,7,6,Pro
5,7,5,10,6,10,Con
6,5,7,6,10,6,Con
4,6,7,8,6,5,Con
6,5,8,7,5,10,Con
10,6,8,6,8,4,Pro
5,4,6,4,9,10,Con
9,9,9,7,5,10,Pro
7,4,5,5,9,6,Con
9,9,10,4,9,10,Pro
8,9,8,5,4,7,Pro
5,4,10,9,6,6,Con
4,10,5,9,8,6,Con
5,6,5,10,10,7,Con
10,9,9,4,9,5,Pro
10,7,5,4,4,9,Pro
5,4,8,8,6,6,Con
5,5,5,8,8,8,Con
8,9,7,5,5,9,Pro
5,6,8,4,10,8,Con
4,5,7,10,4,4,Con
8,9,10,7,7,7,Pro
7,5,5,5,10,6,Con
5,10,9,5,7,7,Pro
7,4,9,9,6,9,Con
9,9,7,5,5,4,Pro
9,10,10,4,7,8,Pro
6,9,4,7,5,10,Con
10,9,7,4,4,9,Pro
10,5,5,7,9,10,Con
5,4,7,8,10,6,Con
4,8,10,5,8,5,Pro
5,6,6,9,4,6,Con
5,4,8,10,8,8,Con
6,10,10,7,6,10,Pro
9,6,10,8,6,4,Pro
4,8,8,10,6,8,Con
4,6,7,10,7,6,Con
4,5,4,6,6,10,Con
9,8,9,5,7,5,Pro
7,7,9,10,10,8,Con
7,4,5,6,10,6,Con
9,10,8,9,10,5,Pro
5,7,8,7,6,10,Con
5,4,9,10,8,9,Con
8,4,5,10,9,10,Con
7,6,4,6,9,8,Con
4,6,7,10,8,5,Con
10,5,5,9,10,8,Con
7,4,6,5,8,10,Con
4,4,4,5,7,10,Con
5,9,5,9,6,10,Con
4,9,7,6,5,5,Pro
6,4,5,10,4,8,Con
10,8,9,10,9,4,Pro
10,10,8,8,4,10,Pro
10,8,7,6,8,8,Pro
8,4,8,8,8,10,Con
8,5,9,8,5,4,Pro
5,4,6,6,8,8,Con
5,10,10,8,4,5,Pro
10,10,5,5,8,4,Pro
9,5,7,6,6,7,Pro
9,5,7,10,10,5,Con
10,10,5,6,7,8,Pro
9,10,8,6,7,8,Pro
9,6,5,6,7,5,Pro
9,10,8,8,8,6,Pro
8,6,9,5,8,8,Pro
5,5,8,9,6,5,Con
9,5,7,4,5,7,Pro
10,10,7,4,10,7,Pro
7,10,4,7,4,7,Pro
9,6,10,4,10,7,Pro
8,5,5,8,8,8,Con
7,7,8,4,6,5,Pro
9,10,7,6,9,9,Pro
4,4,4,9,10,7,Con
10,6,10,6,5,4,Pro
9,5,6,6,7,5,Pro
4,9,10,8,9,8,Con
7,4,5,8,8,5,Con
9,8,10,4,8,9,Pro
4,8,4,4,10,5,Con
4,4,9,7,6,6,Con
10,9,5,9,4,5,Pro
8,4,7,6,10,8,Con
6,4,6,9,8,6,Con
5,5,5,8,5,10,Con
5,7,8,9,7,7,Con
5,4,9,8,8,4,Con
5,8,5,8,10,5,Con
8,5,6,5,5,6,Pro
4,5,9,7,4,9,Con
6,7,4,10,8,5,Con
4,6,5,7,5,6,Con
6,5,6,9,9,10,Con
10,5,5,4,5,6,Pro
4,4,6,4,10,4,Con
6,7,8,10,9,9,Con
9,8,4,9,8,7,Con
6,9,6,10,4,10,Con
5,10,8,5,4,8,Pro
10,10,4,8,6,7,Pro
6,9,4,9,10,10,Con
10,7,4,4,7,9,Pro
8,4,10,7,10,8,Con
8,7,7,7,8,4,Pro
8,8,4,4,6,7,Pro
7,9,4,5,5,6,Pro
9,7,8,5,7,10,Pro
5,9,4,7,8,7,Con
7,10,5,6,5,4,Pro
10,10,7,6,7,9,Pro
4,4,6,6,8,7,Con
6,5,4,6,7,7,Con
8,4,8,10,10,9,Con
7,9,7,6,5,9,Pro
7,8,6,4,9,5,Pro
7,8,10,9,4,5,Pro
8,6,5,8,10,6,Con
4,9,10,8,9,9,Con
7,5,6,9,10,5,Con
8,5,6,7,7,8,Con
6,9,7,9,8,8,Con
7,7,7,4,4,8,Pro
8,5,8,8,9,7,Con
9,4,6,6,10,8,Con
8,9,9,10,9,10,Con
6,5,4,4,9,9,Con
4,10,9,5,4,6,Pro
9,6,6,5,6,7,Pro
6,10,8,9,4,7,Pro
9,9,10,7,8,7,Pro
5,5,10,7,7,9,Con
9,8,10,7,8,6,Pro
4,7,7,10,4,6,Con
10,4,10,6,5,9,Pro
4,6,8,7,8,7,Con
6,5,9,9,6,9,Con
6,8,9,4,6,4,Pro
8,9,8,4,8,9,Pro
4,10,10,5,7,8,Pro
7,5,10,7,8,10,Con
10,7,10,5,5,6,Pro
5,9,6,8,6,10,Con
10,4,10,4,10,5,Pro
5,8,9,5,4,5,Pro
6,4,4,10,8,4,Con
5,9,6,7,10,5,Con
9,7,9,8,4,4,Pro
6,9,6,10,9,6,Con
9,7,10,9,10,4,Pro
9,6,7,6,8,4,Pro
4,5,6,10,6,9,Con
9,9,8,6,6,7,Pro
6,10,7,5,10,4,Pro
4,4,6,5,8,6,Con
8,4,4,10,5,8,Con
7,7,4,7,8,8,Con
4,5,7,6,7,7,Con
8,7,8,6,5,4,Pro
9,10,8,10,9,5,Pro
8,9,6,4,10,7,Pro
4,8,4,6,10,4,Con
6,10,8,4,7,10,Pro
8,6,7,6,5,4,Pro
7,4,5,10,7,6,Con
4,6,6,9,9,5,Con
8,4,4,10,6,10,Con
5,4,10,9,4,8,Con
10,10,6,4,7,5,Pro
10,7,8,10,9,9,Con
10,6,10,9,6,4,Pro
7,9,6,10,6,8,Con
6,4,9,9,10,9,Con
6,6,4,10,8,5,Con
4,6,7,10,9,5,Con
7,9,6,4,7,7,Pro
9,10,7,5,7,9,Pro
7,7,10,5,6,9,Pro
6,5,8,6,5,4,Pro
4,8,10,5,4,6,Pro
7,5,5,5,10,8,Con
5,9,7,6,6,4,Pro
10,4,7,8,10,9,Con
10,4,10,6,9,5,Pro
9,6,8,4,9,9,Pro
5,4,10,8,9,7,Con
4,8,9,9,5,9,Con
6,10,9,5,5,6,Pro
6,5,4,7,7,5,Con
6,5,7,10,4,8,Con
10,5,5,6,5,5,Pro
4,9,8,9,7,10,Con
5,9,6,10,8,9,Con
10,8,7,9,5,6,Pro
9,6,8,6,4,4,Pro
7,9,6,10,10,9,Con
10,8,4,6,7,4,Pro
6,8,4,4,5,4,Pro
4,8,5,7,6,10,Con
7,8,9,9,4,4,Pro
5,9,6,4,4,6,Pro
4,5,8,5,8,10,Con
10,6,5,7,6,6,Pro
9,5,4,10,6,6,Con
5,7,5,10,8,8,Con
5,8,8,6,9,10,Con
8,4,6,9,10,7,Con
10,6,7,6,4,5,Pro
7,8,9,5,7,4,Pro
6,10,9,5,7,5,Pro
7,10,4,7,10,9,Con
6,4,7,7,6,7,Con
6,5,5,10,5,5,Con
4,7,5,9,10,5,Con
8,9,10,6,8,8,Pro
9,9,9,9,8,7,Pro
6,9,5,4,9,4,Pro
5,4,9,8,10,8,Con
7,4,7,10,10,5,Con
6,8,9,5,5,6,Pro
10,9,6,4,5,10,Pro
4,6,4,8,10,9,Con
9,8,7,5,10,7,Pro
5,5,4,7,7,9,Con
9,7,9,6,9,4,Pro
9,10,8,5,7,4,Pro
7,8,8,8,4,5,Pro
10,6,4,10,5,8,Con
9,9,8,8,5,10,Pro
10,9,8,6,6,5,Pro
6,7,8,10,4,10,Con
4,5,6,9,5,10,Con
5,5,8,9,6,7,Con
7,4,4,10,8,4,Con
6,6,6,4,4,6,Pro
9,10,6,8,5,5,Pro
9,10,9,7,4,6,Pro
5,4,8,8,5,9,Con
4,5,9,7,7,9,Con
10,8,8,4,4,9,Pro
10,8,5,4,4,4,Pro
10,7,5,8,5,6,Pro
7,8,9,5,8,8,Pro
10,6,5,4,5,8,Pro
5,9,5,6,9,7,Con
5,4,7,5,5,9,Con
5,7,8,4,6,5,Pro
4,10,10,6,6,5,Pro
9,6,6,5,4,4,Pro
10,8,10,9,8,5,Pro
8,10,8,5,7,9,Pro
9,10,6,5,9,8,Pro
8,8,7,10,8,10,Con
10,7,9,7,6,10,Pro
10,8,8,5,7,10,Pro
8,9,6,10,9,7,Con
5,4,6,5,5,9,Con
6,7,9,9,10,9,Con
9,8,4,9,10,6,Con
4,10,4,4,7,4,Pro
5,4,4,4,9,5,Con
9,5,4,9,6,10,Con
9,8,10,8,7,7,Pro
9,5,10,6,4,10,Pro
9,10,10,9,8,4,Pro
10,7,7,8,4,8,Pro
4,7,6,10,10,9,Con
4,9,4,5,10,7,Con
7,8,7,4,7,4,Pro
6,9,8,9,8,9,Con
9,9,4,8,5,6,Pro
9,7,10,4,4,10,Pro
8,5,6,6,10,10,Con
7,5,10,7,10,10,Con
6,4,4,6,9,7,Con
6,10,5,10,8,7,Con
5,5,4,9,6,9,Con
8,9,7,5,8,5,Pro
4,9,8,10,8,5,Con
4,8,7,6,4,4,Pro
6,7,6,9,10,8,Con
6,8,9,5,5,9,Pro
5,5,4,5,8,7,Con
8,8,5,7,9,10,Con
9,8,5,4,5,10,Pro
8,7,8,5,9,5,Pro
9,6,10,4,10,8,Pro
4,4,8,8,8,10,Con
7,9,5,5,7,4,Pro
4,5,9,9,8,6,Con
6,8,4,10,8,7,Con
10,8,9,4,10,10,Pro
8,4,7,7,4,4,Pro
5,4,4,10,5,9,Con
10,8,5,8,4,4,Pro
10,6,9,4,6,7,Pro
8,9,4,10,8,10,Con
6,7,10,4,8,5,Pro
6,5,5,7,5,9,Con
4,7,8,9,9,9,Con
6,8,4,10,10,9,Con
8,6,8,9,7,9,Con
4,4,7,7,5,6,Con
5,7,5,5,7,9,Con
9,10,7,9,10,4,Pro
4,9,7,7,7,10,Con
8,6,10,6,7,7,Pro
10,6,5,10,10,9,Con
10,5,9,4,10,6,Pro
9,10,7,7,5,5,Pro
6,7,5,5,9,8,Con
8,9,9,10,4,8,Pro
4,7,4,8,9,8,Con
9,6,5,9,6,9,Con
8,10,9,4,7,10,Pro
7,10,8,5,4,8,Pro
9,7,10,7,5,6,Pro
9,8,4,6,9,4,Pro
4,7,4,10,5,9,Con
7,5,5,10,4,10,Con
9,5,7,5,8,5,Pro
4,8,5,7,6,9,Con
9,5,6,7,6,4,Pro
4,6,9,6,8,9,Con
6,8,9,7,4,4,Pro
5,5,9,8,10,8,Con
4,8,9,7,5,5,Pro
9,9,4,8,6,4,Pro
8,10,8,4,5,4,Pro
6,9,8,6,4,4,Pro
8,9,8,8,6,6,Pro
5,6,8,8,8,8,Con
6,5,7,9,4,10,Con
4,9,4,7,4,8,Con
9,9,9,4,6,7,Pro
4,5,9,7,5,10,Con
10,4,10,10,9,9,Con
8,8,10,6,5,9,Pro
8,9,10,9,5,5,Pro
7,8,9,10,7,9,Con
10,9,9,5,9,9,Pro
10,6,7,7,6,5,Pro
7,10,9,6,8,4,Pro
4,8,4,8,9,10,Con
4,9,10,10,10,7,Con
5,8,10,10,8,10,Con
7,8,10,7,6,8,Pro
10,10,9,6,5,8,Pro
6,7,8,8,4,5,Pro
8,8,4,10,10,8,Con
4,9,4,4,7,10,Con
8,7,9,7,4,4,Pro
7,5,5,6,7,8,Con
4,9,7,6,5,4,Pro
4,5,6,9,5,4,Con
6,8,5,7,9,10,Con
6,8,5,4,6,6,Pro
8,5,4,6,10,9,Con
4,8,9,10,5,10,Con
8,9,4,9,9,10,Con
9,4,9,10,4,4,Pro
4,5,6,6,10,6,Con
6,4,8,5,10,10,Con
4,7,5,9,7,5,Con
4,4,7,7,8,8,Con
5,10,5,6,5,5,Pro
7,9,9,5,8,8,Pro
10,9,4,6,4,7,Pro
9,6,10,8,8,4,Pro
4,9,7,8,10,6,Con
8,9,10,9,5,4,Pro
10,4,7,4,7,6,Pro
8,10,5,5,5,10,Pro
5,4,6,9,6,8,Con
7,10,6,4,4,5,Pro
5,8,7,8,5,9,Con
5,6,7,10,5,5,Con
8,7,9,6,10,4,Pro
5,9,9,8,8,9,Con
9,7,10,5,7,5,Pro
6,6,4,10,9,9,Con
6,4,4,8,6,10,Con
8,7,7,5,5,8,Pro
4,4,8,5,9,8,Con
10,10,8,4,5,8,Pro
7,6,9,10,10,9,Con
4,9,9,6,4,7,Pro
9,5,5,9,8,10,Con
10,10,7,8,8,4,Pro
4,8,5,7,8,7,Con
8,5,10,4,7,6,Pro
8,4,5,5,7,9,Con
7,6,10,7,6,6,Pro
7,4,6,10,10,5,Con
10,9,9,9,9,6,Pro
10,6,9,8,7,5,Pro
4,5,5,5,7,5,Con
7,4,9,10,5,7,Con
9,9,10,10,7,5,Pro
5,8,8,9,9,9,Con
4,8,10,9,10,9,Con
5,7,6,7,8,8,Con
10,10,7,7,9,7,Pro
5,8,5,9,8,10,Con
4,9,7,8,10,10,Con
9,9,4,4,5,10,Pro
5,7,4,7,7,5,Con
7,4,4,10,10,6,Con
9,7,7,9,5,4,Pro
8,4,4,9,8,8,Con
6,10,5,9,4,4,Pro
8,4,4,10,4,8,Con
4,7,10,8,8,10,Con
7,8,10,5,5,5,Pro
5,6,7,10,8,9,Con
8,9,6,4,7,6,Pro
9,8,4,6,5,4,Pro
9,7,4,5,7,6,Pro
8,7,8,5,4,6,Pro
4,7,4,5,8,6,Con
8,8,8,6,7,8,Pro
6,10,10,7,4,6,Pro
7,9,9,4,8,7,Pro
7,6,5,10,10,9,Con
9,7,6,7,4,9,Pro
10,7,8,9,5,7,Pro
9,10,4,5,4,5,Pro
8,4,4,9,9,9,Con
6,10,6,5,8,5,Pro
5,8,10,7,4,5,Pro
8,6,10,4,9,7,Pro
7,4,4,4,8,9,Con
10,7,9,7,5,9,Pro
6,7,5,7,5,9,Con
8,9,8,5,10,5,Pro
8,5,4,8,10,10,Con
5,10,8,5,7,5,Pro
10,6,5,9,10,10,Con
7,5,10,10,9,9,Con
7,9,5,4,6,8,Pro
5,10,7,9,10,5,Con
8,6,7,6,4,4,Pro
7,6,9,10,7,8,Con
6,8,8,5,7,5,Pro
4,6,9,10,10,8,Con
5,10,4,4,5,6,Pro
8,8,10,4,8,8,Pro
6,6,4,7,8,9,Con
5,6,10,4,5,5,Pro
9,10,8,10,5,9,Pro
10,6,10,6,7,8,Pro
7,10,9,7,7,4,Pro
7,5,10,9,7,9,Con
4,7,9,4,5,5,Pro
9,7,10,10,8,4,Pro
9,5,4,9,10,5,Con
5,10,6,9,9,8,Con
4,4,8,8,5,8,Con
5,4,7,9,5,5,Con
4,10,9,10,7,8,Con
10,10,7,4,8,8,Pro
9,9,5,4,7,9,Pro
8,10,7,8,7,6,Pro
10,7,7,9,4,7,Pro
10,5,8,7,5,9,Pro
4,5,5,8,8,7,Con
10,7,6,9,9,10,Con
4,5,7,10,4,6,Con
9,10,6,8,7,6,Pro
5,6,7,9,6,5,Con
5,6,6,7,8,10,Con
8,5,9,5,4,8,Pro
8,4,9,7,6,5,Pro
10,4,9,10,7,9,Con
10,9,8,8,10,4,Pro
7,9,6,4,5,10,Pro
4,7,9,8,8,6,Con
9,9,8,5,4,8,Pro
7,8,10,5,8,6,Pro
4,6,7,6,5,9,Con
10,4,8,7,5,5,Pro
9,8,6,9,4,4,Pro
8,4,10,7,5,6,Pro
6,4,4,5,10,6,Con
7,6,4,7,10,10,Con
6,5,4,5,8,6,Con
8,9,7,5,4,9,Pro
5,4,7,8,7,4,Con
8,5,9,7,9,10,Con
4,10,10,5,9,7,Pro
4,9,6,8,9,6,Con
10,5,6,4,4,8,Pro
10,9,9,6,10,5,Pro
10,8,10,5,5,9,Pro
4,5,5,8,6,6,Con
5,7,6,6,9,10,Con
10,10,10,4,5,8,Pro
8,9,6,9,10,10,Con
5,5,10,7,4,5,Pro
10,5,4,4,6,7,Pro
6,8,9,4,10,5,Pro
10,5,10,9,8,5,Pro
6,6,6,8,4,9,Con
4,6,7,10,6,10,Con
7,9,9,5,5,8,Pro
6,8,9,4,4,8,Pro
5,10,7,8,4,4,Pro
7,9,8,7,5,5,Pro
7,5,5,10,4,7,Con
6,7,7,8,10,9,Con
4,8,8,10,7,6,Con
7,8,10,4,10,4,Pro
5,4,5,7,4,8,Con
4,6,8,4,9,8,Con
8,6,5,9,6,9,Con
6,6,4,5,8,9,Con
4,8,10,10,10,9,Con
4,5,6,6,6,6,Con
10,9,10,8,5,10,Pro
6,10,7,10,9,7,Con
6,7,7,4,4,7,Pro
7,4,9,9,4,9,Con
6,8,8,6,9,4,Pro
5,9,5,7,7,10,Con
8,8,9,5,8,5,Pro
7,7,10,8,8,5,Pro
8,5,8,6,4,4,Pro
4,5,4,8,4,4,Con
4,10,4,7,9,7,Con
4,6,5,5,10,7,Con
4,6,5,8,8,10,Con
6,4,6,8,6,10,Con
5,5,9,9,9,6,Con
4,8,9,8,8,7,Con
8,9,10,10,9,4,Pro
10,10,6,7,10,7,Pro
8,7,9,6,8,6,Pro
6,7,7,8,4,10,Con
8,10,5,4,4,9,Pro
6,8,4,6,8,8,Con
6,6,4,5,10,5,Con
4,6,5,6,7,10,Con
4,4,5,4,9,9,Con
9,7,9,8,6,4,Pro
6,5,4,10,7,6,Con
7,4,5,9,6,9,Con
9,9,10,6,8,7,Pro
7,5,4,10,8,10,Con
10,9,5,6,10,5,Pro
9,5,5,9,10,5,Con
9,10,8,7,7,4,Pro
6,4,5,5,7,7,Con
8,6,4,5,6,4,Pro
6,6,6,10,4,10,Con
10,9,5,6,5,7,Pro
5,5,8,10,8,4,Con
4,7,4,4,7,10,Con
5,4,6,10,9,10,Con
6,9,9,9,4,5,Pro
10,5,10,4,8,6,Pro
5,5,9,10,7,5,Con
10,7,6,4,9,8,Pro
6,9,10,9,4,6,Pro
5,4,8,4,9,10,Con
4,10,6,8,8,7,Con
6,6,9,7,6,4,Pro
9,7,10,5,8,10,Pro
7,8,5,7,10,10,Con
7,4,4,4,10,10,Con
8,10,5,10,10,9,Con
7,10,4,8,4,5,Pro
5,7,5,6,6,10,Con
5,4,6,8,8,10,Con
4,7,9,6,8,8,Con
6,7,10,10,10,10,Con
10,9,9,10,4,10,Pro
8,10,10,5,4,8,Pro
4,8,5,10,8,10,Con
4,6,9,10,8,7,Con
4,9,4,10,6,9,Con
9,9,10,7,4,5,Pro
4,4,8,9,9,8,Con
5,9,6,10,10,9,Con
4,7,9,9,7,9,Con
4,4,5,8,5,8,Con
10,8,6,10,9,8,Con
10,5,4,10,6,8,Con
10,5,5,10,8,5,Con
6,8,7,5,8,4,Pro
4,9,9,10,7,7,Con
6,4,5,5,6,10,Con
4,6,10,8,7,8,Con
10,6,8,10,10,7,Con
8,9,8,6,4,7,Pro
9,9,4,9,10,9,Con
6,10,7,5,5,6,Pro
4,9,7,6,9,8,Con
10,9,9,7,7,9,Pro
4,9,5,9,10,4,Con
10,4,9,6,5,7,Pro
10,4,4,8,9,10,Con
4,5,4,5,6,7,Con
5,6,8,7,7,10,Con
9,6,9,8,6,6,Pro
5,5,7,9,7,9,Con
5,9,4,5,9,8,Con
8,4,6,5,4,6,Pro
9,7,4,4,6,8,Pro
9,4,10,5,4,7,Pro
6,10,10,10,5,5,Pro
9,7,5,4,5,10,Pro
9,10,6,5,5,9,Pro
6,5,8,10,7,7,Con
5,7,10,6,6,6,Pro
7,4,9,5,4,5,Pro
9,8,8,5,6,10,Pro
7,8,7,7,6,5,Pro
8,9,8,4,6,9,Pro
9,10,8,10,4,6,Pro
7,4,7,10,7,9,Con
4,5,10,9,4,9,Con
8,9,4,7,6,5,Pro
7,5,6,6,10,7,Con
4,7,6,9,4,8,Con
8,6,5,10,5,7,Con
5,9,6,5,4,4,Pro
9,4,4,10,8,10,Con
7,7,6,4,6,7,Pro
4,7,7,10,8,4,Con
6,8,7,9,7,8,Con
7,4,7,10,5,8,Con
4,9,10,4,4,6,Pro
9,4,5,4,5,4,Pro
4,5,8,7,9,10,Con
10,8,7,5,10,5,Pro
6,7,4,9,9,9,Con
10,10,7,9,6,5,Pro
8,6,10,4,5,6,Pro
10,6,8,4,8,10,Pro
5,4,6,8,9,8,Con
8,7,4,8,10,5,Con
7,10,10,6,5,6,Pro
6,8,10,4,8,8,Pro
5,5,6,8,6,6,Con
5,7,4,5,5,9,Con
10,8,5,10,4,6,Pro
10,6,4,7,4,5,Pro
10,6,9,7,5,6,Pro
9,7,9,7,10,5,Pro
6,10,4,7,10,9,Con
5,6,6,10,4,4,Con
10,5,7,7,4,7,Pro
8,9,10,4,5,10,Pro
5,9,4,10,5,10,Con
5,9,10,10,9,8,Con
4,5,9,10,9,9,Con
10,6,9,5,8,9,Pro
4,6,5,9,10,10,Con
4,4,5,10,4,6,Con
7,5,4,10,7,9,Con
5,9,4,5,6,10,Con
7,7,10,6,8,7,Pro
9,9,9,8,7,8,Pro
9,5,4,10,7,10,Con
6,6,7,9,8,8,Con
10,6,8,9,4,8,Pro
9,8,5,10,10,9,Con
5,6,8,6,8,10,Con
5,4,9,10,8,8,Con
10,6,7,8,8,4,Pro
4,5,9,9,10,6,Con
7,6,4,8,6,9,Con
9,10,8,7,10,7,Pro
7,9,5,7,8,10,Con
8,8,6,10,10,6,Con
7,4,6,8,6,8,Con
6,7,4,8,10,10,Con
4,6,8,4,5,6,Pro
9,8,9,9,8,6,Pro
4,6,4,5,8,4,Con
4,5,6,7,7,6,Con
8,8,8,5,9,6,Pro
10,4,9,5,7,10,Pro
10,6,7,8,4,5,Pro
10,6,10,5,7,9,Pro
10,6,9,4,8,9,Pro
4,7,4,8,6,5,Con
10,7,4,5,4,5,Pro
9,7,9,10,5,4,Pro
